RAL, RGB, HEX, German, English, French, Spanish, Italian, Nederlands,,R,G,B,parsed_col
RAL 4009,164-125-144,#A18594,Pastellviolett,Pastel violet,Violet pastel,Violeta pastel,Violetto pastello,Pastelviolet,,164,125,144,red
RAL 4010,215-045-109,#CF3476,Telemagenta,Telemagenta,Telemagenta,Magenta tele,Tele Magenta,Telemagenta,,215,45,109,red
RAL 4011,134-115-161,#8673A1,Perlviolett,Pearl violet,Violet nacré,Violeta perlado,Violetto perlato,Parelmoer-donkerviolet,,134,115,161,blue
RAL 4012,108-104-129,#6C6874,Perlbrombeer,Pearl black berry,Mûre nacré,Morado perlado,Mora perlato,Parelmoer-lichtviolet,,108,104,129,blue
RAL 5000,042-046-075,#354D73,Violettblau,Violet blue,Bleu violet,Azul violeta,Blu violaceo,Paarsblauw,,42,46,75,blue
RAL 5001,031-052-056,#1F3438,Grünblau,Green blue,Bleu vert,Azul verdoso,Blu verdastro,Groenblauw,,31,52,56,blue
RAL 5002,032-033-079,#20214F,Ultramarinblau,Ultramarine blue,Bleu outremer,Azul ultramar,Blu oltremare,Ultramarijnblauw,,32,33,79,blue
RAL 5003,029-030-051,#1D1E33,Saphirblau,Saphire blue,Bleu saphir,Azul zafiro,Blu zaffiro,Saffierblauw,,29,30,51,blue
RAL 5004,032-033-079,#18171C,Schwarzblau,Black blue,Bleu noir,Azul negruzco,Blu nerastro,Zwartblauw,,32,33,79,blue
RAL 5005,030-045-110,#1E2460,Signalblau,Signal blue,Bleu de sécurité,Azul señales,Blu segnale,Signaalblauw,,30,45,110,blue
RAL 5007,062-095-138,#3E5F8A,Brillantblau,Brillant blue,Bleu brillant,Azul brillante,Blu brillante,Briljantblauw,,62,95,138,blue
RAL 5008,038-037-045,#26252D,Graublau,Grey blue,Bleu gris,Azul grisáceo,Blu grigiastro,Grijsblauw,,38,37,45,blue
RAL 5009,002-086-105,#025669,Azurblau,Azure blue,Bleu azur,Azul azur,Blu  azzurro,Azuurblauw,,2,86,105,blue
RAL 5010,014-041-075,#0E294B,Enzianblau,Gentian blue,Bleu gentiane,Azul genciana,Blu  genziana,Gentiaanblauw,,14,41,75,blue
