R,G,B,parsed_col_sec,R,G,B,C=G+B,M=R+B,Y=R+G,K=R+G+B
164,0,0,R,1,0,0,0,0,0,0
8,69,126,B,0,0,1,0,0,0,0
152,105,96,R,1,0,0,0,0,0,0
205,91,69,R,1,0,0,0,0,0,0
0,139,139,C,0,0,0,1,0,0,0
83,104,120,B,0,0,1,0,0,0,0
184,134,11,R,1,0,0,0,0,0,0
169,169,169,K,0,0,0,0,0,0,1
1,50,32,G,0,1,0,0,0,0,0
0,65,106,B,0,0,1,0,0,0,0
26,36,33,G,0,1,0,0,0,0,0
189,183,107,R,1,0,0,0,0,0,0
72,60,50,R,1,0,0,0,0,0,0
115,79,150,B,0,0,1,0,0,0,0
139,0,139,M,0,0,0,0,1,0,0
0,51,102,B,0,0,1,0,0,0,0
85,107,47,G,0,1,0,0,0,0,0
255,140,0,R,1,0,0,0,0,0,0
153,50,204,B,0,0,1,0,0,0,0
119,158,203,B,0,0,1,0,0,0,0
3,192,60,G,0,1,0,0,0,0,0
150,111,214,B,0,0,1,0,0,0,0
194,59,34,R,1,0,0,0,0,0,0
231,84,128,R,1,0,0,0,0,0,0
0,51,153,B,0,0,1,0,0,0,0
135,38,87,R,1,0,0,0,0,0,0
139,0,0,R,1,0,0,0,0,0,0
233,150,122,R,1,0,0,0,0,0,0
86,3,25,R,1,0,0,0,0,0,0
143,188,143,G,0,1,0,0,0,0,0
60,20,20,R,1,0,0,0,0,0,0
72,61,139,B,0,0,1,0,0,0,0
47,79,79,C,0,0,0,1,0,0,0
23,114,69,G,0,1,0,0,0,0,0
145,129,81,R,1,0,0,0,0,0,0
255,168,18,R,1,0,0,0,0,0,0
72,60,50,R,1,0,0,0,0,0,0
204,78,92,R,1,0,0,0,0,0,0
0,206,209,B,0,0,1,0,0,0,0
148,0,211,B,0,0,1,0,0,0,0
155,135,12,R,1,0,0,0,0,0,0
0,112,60,G,0,1,0,0,0,0,0
85,85,85,K,0,0,0,0,0,0,1
215,10,83,R,1,0,0,0,0,0,0
169,32,62,R,1,0,0,0,0,0,0
239,48,56,R,1,0,0,0,0,0,0
233,105,44,R,1,0,0,0,0,0,0
218,50,135,R,1,0,0,0,0,0,0
250,214,165,R,1,0,0,0,0,0,0
185,78,72,R,1,0,0,0,0,0,0
112,66,65,R,1,0,0,0,0,0,0
193,84,193,M,0,0,0,0,1,0,0
0,75,73,G,0,1,0,0,0,0,0
153,85,187,B,0,0,1,0,0,0,0
204,0,204,M,0,0,0,0,1,0,0
255,203,164,R,1,0,0,0,0,0,0
255,20,147,R,1,0,0,0,0,0,0
132,63,91,R,1,0,0,0,0,0,0
255,153,51,R,1,0,0,0,0,0,0
0,191,255,B,0,0,1,0,0,0,0
102,66,77,R,1,0,0,0,0,0,0
21,96,189,B,0,0,1,0,0,0,0
193,154,107,R,1,0,0,0,0,0,0
237,201,175,R,1,0,0,0,0,0,0
105,105,105,K,0,0,0,0,0,0,1
30,144,255,B,0,0,1,0,0,0,0
215,24,104,R,1,0,0,0,0,0,0
133,187,101,G,0,1,0,0,0,0,0
150,113,23,R,1,0,0,0,0,0,0
0,0,156,B,0,0,1,0,0,0,0
225,169,95,R,1,0,0,0,0,0,0
85,93,80,G,0,1,0,0,0,0,0
194,178,128,R,1,0,0,0,0,0,0
97,64,81,R,1,0,0,0,0,0,0
240,234,214,R,1,0,0,0,0,0,0
16,52,166,B,0,0,1,0,0,0,0
125,249,255,B,0,0,1,0,0,0,0
255,0,63,R,1,0,0,0,0,0,0
0,255,255,C,0,0,0,1,0,0,0
0,255,0,G,0,1,0,0,0,0,0
111,0,255,B,0,0,1,0,0,0,0
244,187,255,B,0,0,1,0,0,0,0
204,255,0,G,0,1,0,0,0,0,0
191,0,255,B,0,0,1,0,0,0,0
63,0,255,B,0,0,1,0,0,0,0
143,0,255,B,0,0,1,0,0,0,0
255,255,0,Y,0,0,0,0,0,1,0
80,200,120,G,0,1,0,0,0,0,0
180,131,149,R,1,0,0,0,0,0,0
150,200,162,G,0,1,0,0,0,0,0
193,154,107,R,1,0,0,0,0,0,0
128,24,24,R,1,0,0,0,0,0,0
181,51,137,R,1,0,0,0,0,0,0
244,0,161,R,1,0,0,0,0,0,0
229,170,112,R,1,0,0,0,0,0,0
77,93,83,G,0,1,0,0,0,0,0
79,121,66,G,0,1,0,0,0,0,0
255,40,0,R,1,0,0,0,0,0,0
108,84,30,R,1,0,0,0,0,0,0
206,32,41,R,1,0,0,0,0,0,0
178,34,34,R,1,0,0,0,0,0,0
226,88,34,R,1,0,0,0,0,0,0
252,142,172,R,1,0,0,0,0,0,0
247,233,142,R,1,0,0,0,0,0,0
238,220,130,R,1,0,0,0,0,0,0
255,250,240,R,1,0,0,0,0,0,0
255,191,0,R,1,0,0,0,0,0,0
255,20,147,R,1,0,0,0,0,0,0
204,255,0,G,0,1,0,0,0,0,0
255,0,79,R,1,0,0,0,0,0,0
1,68,33,G,0,1,0,0,0,0,0
34,139,34,G,0,1,0,0,0,0,0
166,123,91,R,1,0,0,0,0,0,0
0,114,187,B,0,0,1,0,0,0,0
134,96,142,B,0,0,1,0,0,0,0
204,255,0,G,0,1,0,0,0,0,0
199,44,72,R,1,0,0,0,0,0,0
246,74,138,R,1,0,0,0,0,0,0
255,0,255,M,0,0,0,0,1,0,0
193,84,193,M,0,0,0,0,1,0,0
255,119,255,M,0,0,0,0,1,0,0
199,67,117,R,1,0,0,0,0,0,0
228,132,0,R,1,0,0,0,0,0,0
